txn_id,amount_usd,merchant_cat,country,user_age,acct_age_days,txn_hour,device,prior_fraud_flags,velocity_24h,avg_txn_usd,distance_km,is_weekend,is_fraud
T0046,52.12,Restaurant,US,30,690,18,Web,0,1,66.25,12.2,Yes,0
T0047,60.04,Electronics,IN,39,79,21,Mobile,0,3,18.44,104.8,No,1
T0048,7.23,Travel,US,34,475,3,Mobile,0,0,18.66,15.7,Yes,0
T0049,73.35,Travel,NG,44,619,3,Mobile,0,0,70.07,29.6,No,0
T0050,21.14,Grocery,US,18,237,15,Web,0,3,20.98,301.1,No,0
T0051,29.23,Other,US,36,156,10,ATM,2,4,21.02,35.6,No,0
T0052,17.67,Restaurant,US,39,5,12,Mobile,0,4,9.75,72.9,No,0
T0053,165.83,Other,Other,34,638,20,Web,3,5,130.63,79.2,No,0
T0054,9.72,Other,IN,35,158,10,ATM,0,1,5.0,105.7,No,0
T0055,33.03,Travel,BR,18,176,6,Web,0,2,41.06,20.2,No,0
T0056,9.78,Other,US,42,163,13,Web,0,5,11.23,8.3,No,0
T0057,96.16,Grocery,US,45,276,3,Mobile,0,5,81.87,109.7,No,0
T0058,41.62,Grocery,US,43,484,7,Mobile,0,3,5.0,47.0,No,0
T0059,12.19,Grocery,US,50,591,11,Mobile,0,6,25.27,45.3,Yes,0
T0060,39.63,Electronics,UK,40,199,12,ATM,0,1,46.21,42.2,Yes,0
T0061,16.0,Electronics,UK,43,435,8,Web,0,1,25.66,1.8,No,0
T0062,84.3,Grocery,US,39,510,8,Web,1,1,32.92,14.3,Yes,0
T0063,278.6,Restaurant,CN,46,140,1,Mobile,0,1,187.75,55.8,Yes,1
T0064,9.69,Electronics,US,19,40,2,Web,0,1,11.26,1.7,No,0
T0065,148.52,Grocery,Other,27,900,20,Web,0,0,100.9,46.7,Yes,0
T0066,124.26,Travel,US,57,452,11,Web,0,0,132.35,2.6,Yes,0
T0067,26.32,Grocery,US,18,417,16,Web,0,1,40.61,0.4,No,0
T0068,74.68,Restaurant,US,36,24,3,Mobile,0,0,91.63,111.2,No,0
T0069,46.75,Grocery,US,52,681,13,Mobile,0,2,19.07,120.9,No,0
T0070,35.07,Other,UK,36,333,20,Mobile,0,0,23.87,17.1,No,0
T0071,22.51,Restaurant,US,33,753,8,Mobile,1,2,42.27,100.1,No,0
T0072,73.76,Grocery,US,39,1468,7,Mobile,0,2,79.72,3.9,Yes,0
T0073,21.62,Grocery,RU,33,1259,0,Mobile,0,2,19.08,26.5,Yes,0
T0074,99.26,Restaurant,IN,38,775,12,Mobile,0,4,81.72,32.4,No,0
T0075,15.48,Restaurant,BR,29,4,2,Web,0,2,16.98,26.3,No,0
T0076,295.74,Restaurant,US,51,867,13,Web,0,4,361.91,21.4,Yes,0
T0077,11.73,Restaurant,UK,55,31,18,Mobile,0,1,5.0,47.2,No,0
T0078,620.83,Grocery,UK,36,762,5,Mobile,5,1,421.39,56.4,Yes,0
T0079,25.72,Electronics,US,21,131,3,Web,0,6,37.67,159.1,Yes,1
T0080,79.67,Grocery,US,31,376,19,Mobile,0,3,60.62,6.8,No,0
T0081,98.21,Other,US,35,15,0,Mobile,0,2,132.25,115.3,No,0
T0082,43.89,Restaurant,US,44,589,9,Web,0,2,23.55,79.8,No,0
T0083,112.67,Electronics,US,25,47,12,Mobile,0,4,87.11,16.6,Yes,0
T0084,20.05,Grocery,US,28,211,11,Mobile,0,5,20.02,11.2,Yes,0
T0085,10.71,Electronics,IN,44,680,10,Mobile,0,5,23.11,6.2,No,0
T0086,38.54,Electronics,IN,49,475,3,Mobile,0,3,28.9,27.6,No,0
T0087,79.31,Restaurant,Other,30,2,16,Web,3,4,74.57,39.9,No,1
T0088,20.42,Restaurant,IN,22,206,14,Mobile,0,6,5.0,42.2,No,1
T0089,48.73,Other,US,77,17,20,Web,0,0,43.02,27.0,No,0
T0090,9.85,Electronics,NG,47,447,2,Mobile,0,1,29.66,57.8,No,0
T0091,46.98,Grocery,NG,34,1388,9,Web,0,3,49.98,61.5,No,0
T0092,23.79,Restaurant,US,48,425,20,ATM,0,1,11.01,36.2,Yes,0
T0093,44.0,Restaurant,UK,36,101,13,Mobile,0,2,53.34,40.1,No,0
T0094,41.16,Travel,Other,48,175,18,Mobile,2,1,54.22,10.8,No,0
T0095,14.26,Restaurant,US,39,1502,20,Mobile,0,4,16.48,40.4,No,0
T0096,42.39,Travel,CN,39,101,3,Mobile,0,5,22.98,3.9,Yes,0
T0097,21.65,Travel,US,36,329,13,Mobile,0,3,52.99,42.3,No,0
T0098,92.25,Electronics,US,20,204,5,Web,0,3,107.24,51.5,No,0
T0099,93.35,Grocery,US,61,584,11,ATM,0,1,84.75,200.3,No,0
T0100,44.95,Grocery,UK,26,808,1,Mobile,1,2,56.03,27.7,Yes,0
T0101,40.28,Grocery,BR,21,166,16,Web,0,1,41.18,34.2,No,0
T0102,77.16,Restaurant,Other,35,431,0,Web,0,3,68.36,30.1,No,0
T0103,94.32,Electronics,US,26,318,16,Mobile,1,3,81.88,15.0,No,0
T0104,173.25,Travel,US,37,130,4,Web,0,4,180.93,5.0,No,0
T0105,28.6,Other,BR,46,126,15,Web,0,3,18.91,51.2,No,0
T0106,10.4,Grocery,UK,49,309,13,Web,0,3,26.15,3.7,No,0
T0107,95.74,Electronics,US,47,66,19,Mobile,0,6,117.77,28.1,No,0
T0108,178.01,Restaurant,US,34,666,9,Mobile,0,2,131.89,0.6,No,0
T0109,39.28,Grocery,RU,38,28,20,Web,2,2,36.41,141.1,Yes,0
T0110,34.84,Grocery,RU,42,39,2,Mobile,0,2,38.43,59.8,No,1
T0111,181.26,Grocery,US,18,167,2,Web,0,2,145.62,12.6,No,0
T0112,12.44,Grocery,US,44,50,17,Mobile,0,2,14.03,16.2,Yes,0
T0113,27.08,Other,Other,20,258,23,Mobile,0,0,5.0,19.4,No,0
T0114,19.38,Restaurant,IN,62,204,22,Mobile,2,4,8.04,36.6,No,0
T0115,37.66,Restaurant,US,33,511,17,Mobile,0,2,62.16,50.0,Yes,0
T0116,103.16,Other,US,35,1223,3,Mobile,0,2,80.94,4.0,No,0
T0117,10.55,Restaurant,RU,28,560,6,ATM,0,2,24.33,54.0,No,0
T0118,102.83,Grocery,US,30,79,0,Mobile,2,1,62.85,3.9,No,0
T0119,15.93,Other,US,65,1096,15,Mobile,0,3,15.86,122.6,No,0
T0120,56.89,Travel,US,49,199,16,Web,1,1,35.99,34.4,No,0
T0121,5.0,Restaurant,US,19,257,7,Mobile,0,3,24.05,135.7,Yes,0
T0122,5.0,Other,UK,56,218,5,Mobile,1,0,33.66,51.4,Yes,0
T0123,31.46,Electronics,US,52,131,1,Mobile,0,2,10.49,25.6,No,0
T0124,130.04,Grocery,IN,34,901,9,Mobile,0,1,98.51,76.4,No,0
T0125,105.37,Grocery,US,41,161,16,Mobile,0,2,121.43,3.5,No,0
T0126,7.47,Electronics,US,37,345,18,Web,0,2,5.0,44.2,Yes,0
T0127,110.93,Restaurant,US,61,109,3,Mobile,0,1,133.42,14.9,No,0
T0128,61.94,Other,CN,28,638,12,ATM,0,1,43.46,92.5,No,0
T0129,56.71,Grocery,NG,39,595,20,Mobile,0,2,68.94,110.7,No,0
T0130,360.01,Travel,US,32,140,18,Web,0,1,288.32,44.0,No,0
T0131,19.6,Electronics,RU,20,457,15,Web,0,1,15.5,15.1,No,0
T0132,96.89,Grocery,UK,64,486,12,Mobile,0,3,94.21,24.6,Yes,0
T0133,38.03,Grocery,Other,23,330,4,Mobile,0,3,32.31,48.4,No,0
T0134,186.12,Electronics,US,40,367,11,Web,0,1,189.4,27.7,Yes,0
T0135,51.88,Other,IN,18,341,6,Web,0,2,75.55,75.1,Yes,0
T0136,21.78,Electronics,US,33,34,8,Mobile,0,2,30.46,23.0,No,0
T0137,19.02,Travel,US,43,443,4,Mobile,0,0,20.75,35.2,No,0
T0138,46.19,Restaurant,Other,28,253,3,ATM,0,4,26.41,10.5,Yes,0
T0139,16.58,Electronics,US,45,230,9,Mobile,0,3,5.0,59.8,Yes,0
T0140,5.0,Other,US,34,786,15,Mobile,0,1,5.0,100.2,No,0
T0141,136.45,Other,US,51,9,10,ATM,0,2,152.83,22.8,No,0
T0142,113.5,Grocery,IN,54,115,8,Mobile,0,1,87.52,154.7,No,0
T0143,36.65,Travel,UK,30,51,23,Mobile,1,4,11.38,2.0,No,0
T0144,74.49,Electronics,US,38,14,4,Web,0,1,61.59,12.4,No,0
T0145,78.7,Grocery,Other,40,129,10,Web,0,4,73.09,26.6,Yes,0
T0146,38.53,Grocery,US,45,1785,8,Mobile,0,2,20.48,27.6,No,0
T0147,6.39,Restaurant,US,38,126,16,Web,0,0,9.71,78.8,No,0
T0148,51.75,Travel,CN,40,435,21,ATM,0,2,50.64,109.1,Yes,0
T0149,28.27,Grocery,US,35,50,10,Mobile,0,1,5.0,18.1,Yes,0
T0150,273.22,Grocery,US,39,368,20,Mobile,2,1,270.67,50.9,No,0
T0151,70.75,Other,US,53,1666,5,Web,1,2,89.53,40.1,No,0
T0152,71.03,Grocery,BR,45,138,15,Mobile,0,0,59.89,9.8,No,0
T0153,162.0,Grocery,US,46,753,18,Mobile,0,4,155.01,19.7,Yes,0
T0154,40.89,Travel,CN,46,2408,13,Web,0,1,37.64,1.0,No,0
T0155,268.42,Other,BR,36,355,2,Web,0,2,209.68,18.1,No,0
T0156,13.15,Grocery,US,41,148,9,Web,0,3,5.0,5.6,No,0
T0157,32.7,Restaurant,IN,24,447,20,Web,0,2,67.82,114.3,No,0
T0158,139.77,Restaurant,US,53,745,22,Mobile,0,1,96.32,114.6,No,0
T0159,10.71,Grocery,US,18,75,3,Web,0,1,5.0,57.0,No,0
T0160,25.72,Restaurant,RU,36,240,21,Mobile,0,1,20.16,246.9,No,0
T0161,59.47,Electronics,Other,51,153,20,Mobile,0,1,77.58,43.4,Yes,0
T0162,62.35,Restaurant,US,21,133,1,Mobile,0,0,30.51,11.2,Yes,0
T0163,19.31,Restaurant,US,42,788,12,Mobile,0,3,33.01,108.0,No,0
T0164,157.12,Travel,US,29,219,10,Mobile,0,0,164.83,11.7,No,0
T0165,13.49,Grocery,US,33,165,11,Mobile,0,0,5.0,15.5,No,0
T0166,45.64,Restaurant,US,49,370,0,Web,0,3,32.16,53.8,No,0
T0167,18.94,Electronics,US,40,99,21,Mobile,0,1,21.73,6.9,No,0
T0168,5.79,Grocery,IN,18,104,20,Mobile,0,0,7.99,47.1,No,0
T0169,18.2,Grocery,US,26,293,8,Mobile,0,5,32.81,18.0,No,0
T0170,26.68,Travel,US,49,210,11,ATM,0,4,12.24,49.2,Yes,0
T0171,10.02,Restaurant,BR,43,139,6,Web,0,3,5.0,80.0,Yes,0
T0172,126.66,Grocery,BR,58,22,16,Mobile,0,2,96.85,25.1,No,1
T0173,43.42,Travel,US,58,294,9,ATM,0,3,45.24,20.1,No,0
T0174,49.17,Grocery,US,33,678,5,Mobile,0,1,53.5,20.1,No,0
T0175,33.54,Restaurant,UK,68,762,6,Web,2,2,36.95,22.1,Yes,0
T0176,32.76,Grocery,US,38,107,18,Web,0,2,26.58,76.5,No,0
T0177,64.7,Restaurant,US,26,366,13,Mobile,0,0,65.94,28.2,No,0
T0178,22.3,Electronics,RU,30,774,10,Mobile,0,0,71.85,62.5,No,0
T0179,5.0,Other,US,18,210,1,Web,0,4,5.0,67.3,Yes,0
T0180,5.73,Grocery,US,57,1076,0,Mobile,0,2,12.31,38.1,No,0
T0181,50.02,Electronics,US,57,933,9,Mobile,0,2,14.22,30.4,No,0
T0182,27.53,Grocery,US,25,93,11,Web,0,0,26.54,23.8,Yes,0
T0183,521.07,Other,US,35,119,8,Mobile,0,2,563.55,53.2,No,0
T0184,90.19,Other,Other,39,79,22,Web,0,0,103.63,36.1,No,0
T0185,54.46,Grocery,US,26,87,10,Mobile,0,1,66.93,17.2,No,0
T0186,7.22,Restaurant,US,18,953,0,Mobile,0,2,14.22,38.1,No,0
T0187,18.95,Restaurant,US,35,1070,19,Web,0,1,14.7,53.7,Yes,0
T0188,98.23,Travel,CN,34,21,9,ATM,0,2,97.37,39.3,No,0
T0189,44.94,Travel,US,33,360,18,Web,0,2,28.33,0.8,No,0
T0190,14.22,Grocery,US,40,332,22,Mobile,0,5,17.66,249.4,No,0
T0191,11.2,Grocery,NG,55,198,20,ATM,0,1,15.51,70.7,No,1
T0192,62.79,Other,US,34,399,10,Mobile,0,3,76.46,14.0,No,0
T0193,19.39,Other,US,40,1177,2,Mobile,0,0,5.0,71.5,Yes,0
T0194,23.08,Restaurant,US,46,74,15,Web,0,2,36.91,73.0,No,0
T0195,30.0,Electronics,US,44,51,21,Mobile,0,4,5.0,45.9,No,1
T0196,146.32,Electronics,US,30,13,9,Web,0,3,75.47,49.0,Yes,0
T0197,28.85,Restaurant,IN,39,180,1,ATM,0,0,36.33,8.8,Yes,0
T0198,148.84,Other,US,44,164,18,Mobile,0,1,193.79,23.3,Yes,0
T0199,24.82,Other,UK,24,225,3,Mobile,0,0,15.55,44.3,No,0
T0200,8.61,Restaurant,US,53,279,15,Mobile,0,0,5.0,4.0,Yes,0
T0201,28.03,Restaurant,US,55,567,5,Web,0,2,29.43,191.0,No,0
T0202,36.34,Grocery,US,29,199,10,Web,0,3,5.0,5.4,Yes,0
T0203,7.29,Grocery,CN,40,160,16,Mobile,0,0,9.33,25.8,Yes,0
T0204,13.06,Other,US,45,701,14,Mobile,0,3,17.87,122.4,No,0
T0205,64.94,Restaurant,IN,31,758,21,Mobile,0,2,99.37,0.8,No,0
T0206,22.31,Grocery,US,43,105,3,Web,0,2,33.32,57.5,No,0
T0207,85.03,Grocery,US,39,151,23,Mobile,0,2,88.27,24.6,Yes,0
T0208,9.08,Restaurant,US,20,697,7,Mobile,0,5,9.1,63.2,Yes,0
T0209,15.74,Grocery,US,43,33,23,Web,0,4,32.59,54.5,Yes,0
T0210,75.86,Grocery,US,24,157,17,Mobile,0,2,93.15,45.4,No,0
T0211,40.88,Travel,US,49,237,13,Web,0,3,25.48,100.2,No,0
T0212,6.85,Restaurant,RU,29,82,1,Mobile,2,2,24.98,0.3,No,1
T0213,47.65,Restaurant,US,36,79,15,Web,0,2,25.17,7.9,No,0
T0214,151.11,Grocery,UK,54,221,21,Mobile,0,2,145.72,77.3,No,0
T0215,30.15,Restaurant,US,43,561,14,Web,1,2,6.57,50.4,No,0
T0216,20.85,Grocery,US,25,733,20,Web,0,0,39.6,130.0,No,0
T0217,103.7,Electronics,UK,25,1549,5,Web,0,3,59.33,28.9,No,0
T0218,20.63,Restaurant,US,30,30,8,Web,0,1,8.65,39.9,No,0
T0219,63.85,Restaurant,US,42,97,11,Web,0,5,68.65,48.9,No,0
T0220,27.34,Restaurant,RU,42,565,9,Mobile,0,0,14.66,9.7,No,0
T0221,12.66,Restaurant,NG,27,311,6,Mobile,0,0,33.45,7.7,No,0
T0222,20.64,Travel,US,23,158,4,Web,0,1,43.45,14.6,No,0
T0223,5.0,Grocery,US,41,92,22,Web,0,0,15.34,24.4,No,0
T0224,80.75,Electronics,NG,35,131,7,Mobile,1,3,51.87,33.4,No,0
T0225,71.31,Grocery,US,63,224,11,Mobile,0,5,48.1,31.2,No,0
T0226,46.38,Grocery,UK,38,77,0,Mobile,0,1,19.09,78.5,No,0
T0227,20.18,Other,US,59,1332,9,Mobile,1,1,16.52,7.2,No,0
T0228,79.88,Electronics,US,23,45,10,Web,0,1,90.85,23.0,No,0
T0229,68.19,Other,UK,19,1695,22,Web,0,1,91.91,145.9,Yes,0
T0230,80.42,Restaurant,US,24,737,19,Mobile,0,1,55.44,73.9,Yes,0
T0231,54.01,Restaurant,US,52,220,4,Mobile,2,3,47.22,27.9,No,0
T0232,28.9,Travel,US,59,538,12,Mobile,0,1,42.79,43.5,No,0
T0233,29.26,Travel,BR,28,445,17,Mobile,1,2,24.02,31.8,No,0
T0234,5.0,Travel,UK,32,95,9,Mobile,0,4,14.24,24.2,Yes,0
T0235,10.74,Grocery,US,23,165,20,Web,1,0,24.12,7.1,No,0
T0236,56.49,Restaurant,US,18,287,16,Mobile,0,4,38.69,9.2,No,0
T0237,169.38,Grocery,IN,46,406,18,Mobile,0,5,95.72,17.0,No,0
T0238,83.65,Grocery,BR,40,313,3,Mobile,0,2,106.3,22.7,No,0
T0239,28.56,Restaurant,UK,38,256,8,Web,3,3,54.26,14.5,No,0
T0240,16.13,Grocery,US,21,234,17,Web,0,2,24.42,43.1,No,0
T0241,72.77,Other,IN,57,275,15,Mobile,0,1,64.11,45.6,Yes,0
T0242,43.85,Other,IN,31,227,6,Mobile,1,1,42.59,2.3,No,0
T0243,16.08,Other,US,44,311,11,ATM,2,3,26.76,52.4,Yes,0
T0244,45.88,Electronics,US,20,875,3,Mobile,0,4,60.57,31.5,No,0
T0245,77.99,Grocery,US,35,400,20,Web,0,2,52.23,39.6,No,0
T0246,7.37,Other,IN,41,512,11,Mobile,0,4,5.0,111.9,Yes,0
T0247,32.99,Electronics,US,41,364,11,Web,0,0,54.55,10.1,No,0
T0248,132.25,Other,UK,39,412,3,Mobile,0,2,115.05,25.9,No,0
T0249,103.56,Other,CN,43,345,11,ATM,1,5,135.97,33.2,Yes,0
T0250,35.78,Other,BR,24,10,22,Web,0,5,36.34,44.7,No,0
T0251,13.43,Grocery,CN,40,3000,7,Mobile,0,3,34.51,56.6,No,0
T0252,8.85,Electronics,Other,39,13,23,Mobile,0,2,5.0,6.9,No,0
T0253,88.89,Other,US,40,201,2,Mobile,0,2,126.27,69.1,Yes,0
T0254,21.48,Electronics,UK,38,44,15,ATM,0,1,13.9,12.5,No,0
T0255,68.75,Grocery,US,22,40,1,Mobile,0,2,62.73,151.0,No,0
T0256,116.51,Travel,NG,22,631,5,Mobile,0,2,70.98,5.6,No,0
T0257,16.99,Other,US,18,221,16,Mobile,0,2,5.0,216.1,No,0
T0258,25.94,Restaurant,Other,47,646,11,Web,0,4,5.2,131.5,No,0
T0259,115.64,Travel,UK,47,127,8,Mobile,0,4,99.75,110.0,No,0
T0260,30.15,Grocery,BR,48,118,15,Web,0,3,44.1,1.5,No,0
T0261,65.08,Restaurant,US,41,115,6,Web,0,2,81.54,11.2,No,0
T0262,26.41,Other,US,18,382,7,Web,0,4,45.9,41.9,No,0
T0263,11.49,Grocery,RU,25,674,6,Mobile,0,2,11.61,63.9,No,0
T0264,61.28,Travel,US,40,240,20,Mobile,0,4,66.81,66.4,No,0
T0265,166.79,Other,BR,39,190,4,Mobile,0,3,217.39,2.4,No,0
T0266,55.16,Restaurant,US,35,1453,22,Mobile,0,1,49.31,58.4,Yes,0
T0267,67.72,Restaurant,IN,42,49,6,Mobile,0,2,44.59,34.3,No,0
T0268,68.8,Restaurant,US,38,266,17,Mobile,0,0,100.04,18.8,No,0
T0269,193.09,Electronics,UK,39,210,17,Mobile,0,0,219.69,58.5,Yes,0
T0270,26.68,Grocery,IN,30,41,15,Mobile,0,2,32.55,14.4,Yes,0
T0271,5.0,Restaurant,US,49,124,6,Web,0,1,29.87,51.8,No,0
T0272,129.21,Restaurant,US,32,11,20,Mobile,1,2,132.07,47.4,No,1
T0273,8.38,Other,US,22,838,1,Web,0,2,5.0,44.7,No,0
T0274,22.61,Other,UK,28,374,16,Mobile,1,4,24.66,38.1,Yes,0
T0275,16.53,Travel,US,33,674,7,Mobile,0,1,17.59,15.9,No,0
T0276,16.54,Travel,RU,49,294,1,Mobile,0,1,5.0,11.2,Yes,0
T0277,91.02,Restaurant,US,37,366,17,Web,1,3,87.43,24.2,Yes,0
T0278,73.62,Restaurant,US,35,482,18,Mobile,0,2,75.3,176.7,Yes,0
T0279,15.69,Restaurant,US,23,954,19,Mobile,0,1,5.0,77.4,No,0
T0280,126.24,Restaurant,US,47,38,8,Mobile,0,2,77.21,24.3,No,0
T0281,28.56,Other,US,30,160,11,Mobile,0,5,5.0,57.6,Yes,0
T0282,237.23,Electronics,Other,36,493,21,Web,0,0,243.1,16.5,Yes,0
T0283,24.96,Electronics,NG,55,1271,18,Mobile,0,1,5.0,12.1,No,0
T0284,23.45,Grocery,US,44,1581,7,Web,0,2,13.22,43.8,No,0
T0285,25.5,Travel,UK,18,406,21,Web,0,3,21.17,14.8,No,0
T0286,14.84,Grocery,BR,18,86,7,Mobile,1,1,42.93,39.5,No,1
T0287,63.98,Electronics,US,37,50,9,ATM,1,2,78.54,4.2,No,0
T0288,18.5,Travel,US,23,1167,17,Mobile,0,2,5.0,90.1,No,0
T0289,27.93,Grocery,US,45,227,14,Mobile,0,1,12.76,24.1,No,0
T0290,58.98,Travel,US,38,86,23,Mobile,0,1,70.37,0.8,No,0
T0291,265.55,Grocery,Other,39,1086,10,Web,0,3,311.88,158.8,No,0
T0292,18.74,Grocery,IN,29,44,20,ATM,2,4,35.28,39.4,No,0
T0293,21.25,Restaurant,US,58,523,13,Web,0,4,12.4,123.8,Yes,0
T0294,19.93,Electronics,US,72,392,14,Web,0,0,21.11,10.4,No,0
T0295,57.5,Grocery,RU,34,36,13,ATM,0,6,30.86,17.9,No,1
T0296,22.6,Travel,BR,42,165,11,Mobile,0,2,23.31,24.2,No,0
T0297,15.0,Restaurant,UK,39,64,3,Mobile,0,1,5.99,10.9,No,0
T0298,40.55,Grocery,UK,34,371,2,Mobile,1,5,51.27,30.3,No,0
T0299,65.45,Restaurant,US,28,259,11,Web,0,0,41.52,16.5,No,0
T0300,22.53,Grocery,BR,24,1,6,Mobile,0,3,5.0,6.7,Yes,1
T0301,40.36,Grocery,RU,24,1487,6,Web,0,0,86.78,4.2,No,0
T0302,47.65,Travel,US,42,172,21,Web,1,2,66.4,14.9,No,0
T0303,36.51,Travel,IN,31,119,18,Web,0,2,62.13,198.8,No,0
T0304,50.49,Restaurant,US,18,100,13,Web,2,2,25.04,14.8,No,0
T0305,15.65,Restaurant,US,43,69,0,Web,0,2,5.0,96.7,No,0
T0306,12.83,Other,US,37,2822,6,Web,0,1,5.0,30.7,No,0
T0307,16.36,Travel,US,54,139,21,Mobile,0,5,19.52,14.5,No,0
T0308,5.0,Electronics,US,42,208,9,Mobile,0,3,15.74,86.5,No,0
T0309,11.16,Restaurant,US,20,820,17,Mobile,1,3,5.0,70.3,No,0
T0310,73.76,Grocery,US,18,410,12,Mobile,0,0,53.5,48.0,No,0
T0311,71.2,Electronics,US,29,183,7,Mobile,0,2,36.41,16.9,Yes,0
T0312,9.86,Grocery,US,30,914,8,Mobile,0,2,56.54,71.8,No,0
T0313,6.65,Grocery,US,49,554,14,Web,0,1,5.0,1.0,No,0
T0314,37.48,Other,UK,37,103,7,Mobile,1,1,21.48,16.4,No,0
T0315,62.04,Restaurant,US,51,412,0,Web,0,2,56.38,98.9,No,0
T0316,16.67,Restaurant,US,22,1022,2,Web,1,2,36.53,13.3,Yes,0
T0317,20.24,Electronics,NG,49,274,18,ATM,0,3,28.28,49.7,No,0
T0318,79.62,Grocery,RU,46,529,8,Mobile,0,0,91.78,32.6,No,0
T0319,196.34,Grocery,NG,18,1417,18,Mobile,3,0,257.69,28.0,Yes,0
T0320,20.27,Grocery,US,53,469,14,Web,0,0,24.83,58.0,Yes,0
T0321,64.0,Travel,US,39,43,13,Web,0,0,80.5,1.9,No,0
T0322,35.26,Restaurant,IN,42,112,0,Web,0,1,44.0,34.4,Yes,0
T0323,109.04,Restaurant,US,27,361,2,ATM,1,2,105.74,29.0,No,0
T0324,11.8,Grocery,US,53,128,1,Mobile,0,2,5.0,69.5,Yes,0
T0325,37.32,Other,US,23,1263,0,Mobile,0,1,30.3,27.8,No,0
T0326,19.14,Restaurant,BR,47,207,17,Mobile,0,2,5.0,117.6,No,1
T0327,34.31,Travel,US,47,244,0,Web,0,0,48.75,245.6,No,0
T0328,88.21,Restaurant,CN,26,483,8,Mobile,2,1,107.46,104.3,Yes,1
